state_fipcode,county_lookup,county_fipcode,city_lookup,city_fipcode
21,CALLOWAY,C035,ALMO,0086
16,CASSIA,C031,ALMO,0031
37,SWAIN,C173,ALMOND,0074
36,STEUBEN,C101,ALMOND,0120
55,PORTAGE,C097,ALMOND,0100
36,ALLEGANY,C003,ALMOND,0120
34,GLOUCESTER,C015,ALMONESSON,0049
08,GUNNISON,C051,ALMONT,0043
26,LAPEER,C087,ALMONT,0110
38,MORTON,C059,ALMONT,0060
05,ARKANSAS,C001,ALMYRA,0060
23,LINCOLN,C015,ALNA,0011
53,GRAYS HARBOR,C027,ALOHA,0039
41,WASHINGTON,C067,ALOHA,0025
06,LOS ANGELES,C037,ALONDRA,0035
17,ST CLAIR,C163,ALORTON,0120
06,TULARE,C107,ALPAUGH,0039
46,JERAULD,C073,ALPENA,0070
05,BOONE,C009,ALPENA,0070
26,ALPENA,C007,ALPENA,0120
26,IRON,C071,ALPHA,0130
39,GREENE,C057,ALPHA,0115
27,JACKSON,C063,ALPHA,0140
17,HENRY,C073,ALPHA,0130
34,WARREN,C041,ALPHA,0050
21,CLINTON,C053,ALPHA,0087
13,FULTON,C121,ALPHARETTA,0120
05,CLARK,C019,ALPINE,0073
48,BREWSTER,C043,ALPINE,0100
06,SAN DIEGO,C073,ALPINE,0041
47,OVERTON,C133,ALPINE,0064
34,BERGEN,C003,ALPINE,0060
04,APACHE,C001,ALPINE,0015
56,LINCOLN,C023,ALPINE,0025
01,TALLADEGA,C121,ALPINE,0075
49,UTAH,C049,ALPINE,0010
36,SCHUYLER,C097,ALPINE,0106
26,KENT,C081,ALPINE,0131
36,SCHENECTADY,C093,ALPLAUS,0125
54,WYOMING,C109,ALPOCA,0060
41,BENTON,C003,ALSEA,0028
38,CAVALIER,C019,ALSEN,0070
17,SCOTT,C171,ALSEY,0139
17,COOK,C031,ALSIP,0140
33,CHESHIRE,C005,ALSTEAD,0002
26,HOUGHTON,C061,ALSTON,0133
13,MONTGOMERY,C209,ALSTON,0130
06,PLACER,C061,ALTA,0044
19,BUENA VISTA,C021,ALTA,0180
56,TETON,C039,ALTA,0028
49,SALT LAKE,C035,ALTA,0015
06,NEVADA,C057,ALTA HILL,0048
06,SAN BERNARDINO,C071,ALTA LOMA,0045
